,date,close,open,high,low
477,2022-11-10,11114.15,10869.17,11119.11,10779.95
478,2022-11-09,10353.17,10531.64,10564.97,10344.01
479,2022-11-08,10616.2,10611.53,10745.64,10472.73
480,2022-11-07,10564.52,10516.94,10587.96,10428.91
481,2022-11-04,10475.25,10548.14,10553.63,10262.93
482,2022-11-03,10342.94,10399.45,10486.01,10319.54
483,2022-11-02,10524.8,10885.01,10993.24,10522.9
484,2022-11-01,10890.85,11154.74,11156.35,10881.19
485,2022-10-31,10988.15,11028.43,11047.94,10914.0
486,2022-10-28,11102.45,10766.2,11117.04,10766.2
487,2022-10-27,10792.67,10971.95,10998.73,10780.5
488,2022-10-26,10970.99,10969.02,11205.84,10948.38
489,2022-10-25,11199.12,10996.97,11210.38,10996.97
490,2022-10-24,10952.61,10867.07,10983.52,10713.33
491,2022-10-21,10859.72,10576.04,10875.72,10542.43
492,2022-10-20,10614.84,10657.41,10837.3,10574.55
493,2022-10-19,10680.51,10689.31,10808.04,10592.88
494,2022-10-18,10772.4,10963.99,10972.97,10670.12
495,2022-10-17,10675.8,10575.65,10696.59,10569.69
496,2022-10-14,10321.39,10742.81,10766.69,10308.81
497,2022-10-13,10649.15,10131.82,10697.71,10088.83
498,2022-10-12,10417.1,10437.0,10494.53,10372.21
499,2022-10-11,10426.19,10484.37,10608.84,10351.98
500,2022-10-10,10542.1,10659.95,10669.93,10449.04
501,2022-10-07,10652.4,10877.28,10891.93,10608.52
502,2022-10-06,11073.31,11129.04,11230.44,11051.27
503,2022-10-05,11148.64,11022.67,11210.32,10910.76
504,2022-10-04,11176.41,11054.72,11189.96,11044.04
505,2022-10-03,10815.43,10659.01,10875.46,10577.89
506,2022-09-30,10575.62,10697.71,10883.04,10572.33
507,2022-09-29,10737.51,10894.44,10899.47,10623.22
508,2022-09-28,11051.64,10817.52,11101.5,10776.34
509,2022-09-27,10829.5,10955.29,11040.98,10741.02
510,2022-09-26,10802.92,10833.38,11024.0,10789.05
511,2022-09-23,10867.93,10952.69,10958.29,10732.72
512,2022-09-22,11066.81,11167.38,11203.77,11024.64
513,2022-09-21,11220.19,11466.21,11613.57,11218.99
514,2022-09-20,11425.05,11440.14,11520.99,11343.72
515,2022-09-19,11535.02,11338.57,11538.13,11337.83
516,2022-09-16,11448.4,11401.21,11460.43,11316.92
517,2022-09-15,11552.36,11633.24,11760.73,11497.11
518,2022-09-14,11719.68,11680.41,11746.83,11602.76
519,2022-09-13,11633.57,11908.81,11957.97,11604.43
520,2022-09-12,12266.41,12174.94,12270.19,12169.28
521,2022-09-09,12112.31,11958.61,12132.67,11958.61
522,2022-09-08,11862.13,11679.86,11896.73,11660.53
523,2022-09-07,11791.9,11559.38,11819.07,11555.08
524,2022-09-06,11544.91,11643.03,11679.43,11471.5
525,2022-09-02,11630.86,11899.14,11945.91,11573.51
526,2022-09-01,11785.13,11707.44,11798.37,11546.52
527,2022-08-31,11816.2,11972.56,12027.43,11814.17
528,2022-08-30,11883.14,12093.06,12101.85,11790.02
529,2022-08-29,12017.67,12021.05,12124.87,11981.42
530,2022-08-26,12141.71,12630.58,12655.84,12141.52
531,2022-08-25,12639.27,12506.37,12641.26,12471.98
532,2022-08-24,12431.53,12375.15,12504.33,12350.16
533,2022-08-23,12381.3,12380.37,12490.85,12352.03
534,2022-08-22,12381.57,12523.16,12538.55,12353.73
535,2022-08-19,12705.22,12832.27,12859.01,12674.87
536,2022-08-18,12965.34,12937.79,13002.66,12873.49
537,2022-08-17,12938.12,12968.63,13053.51,12863.01
538,2022-08-16,13102.55,13082.64,13181.09,12979.24
539,2022-08-15,13128.05,12996.63,13146.06,12993.78
540,2022-08-12,13047.19,12866.31,13047.19,12821.22
541,2022-08-11,12779.91,12987.95,13026.24,12760.09
542,2022-08-10,12854.8,12793.44,12861.44,12698.61
543,2022-08-09,12493.93,12557.49,12582.91,12438.86
544,2022-08-08,12644.46,12703.72,12855.15,12597.75
545,2022-08-05,12657.55,12538.8,12720.44,12525.77
546,2022-08-04,12720.58,12675.04,12736.19,12600.78
547,2022-08-03,12668.16,12433.87,12699.64,12425.21
548,2022-08-02,12348.76,12479.78,12503.34,12260.48
549,2022-08-01,12368.98,12317.96,12499.72,12271.98
550,2022-07-29,12390.69,12239.69,12426.26,12181.13
551,2022-07-28,12162.59,12036.48,12179.09,11886.67
552,2022-07-27,12032.42,11756.19,12081.73,11718.38
